poi_id,xcoord,ycoord,sm13,post_code,sic_1,sic_2,sic_3,sic_4,sic_5,sic_6,naics_1,naics_2,naics_3,naics_4,naics_5
POI4721818,295278.4476856757,5050578.383124667,118,,23940000,36390000,51990000,00000000,00000000,00000000,314912,442291,335228,00000,00000
POI3346607,295378.87235823175,5049732.998509552,118,H1R 1A5,50630000,50640000,73360000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4632629,293849.1416054115,5049061.98474667,118,,72410000,72310000,59990000,00000000,00000000,00000000,812111,812112,44612,00000,00000
POI5121801,295180.34896415396,5051320.565641589,118,H1G 4Y3,83220000,00000000,00000000,00000000,00000000,00000000,62419,00000,00000,00000,00000
POI5136535,295278.4476856757,5050578.383124667,118,,23940000,57140000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5117132,294164.93107050285,5051340.1018945975,118,,72310000,59990000,00000000,00000000,00000000,00000000,812112,44612,00000,00000,00000
POI5117236,293944.9758490924,5049244.186052388,118,,72310000,59990000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5121127,295024.6799694107,5050196.478551916,118,,35410000,37140000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI1125663,295900.8740118559,5051560.101359137,118,H1G 4G5,51990000,00000000,00000000,00000000,00000000,00000000,42299,00000,00000,00000,00000
POI5134656,293884.4336688578,5048983.352537847,118,H1H 4Y1,23710000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5118093,295831.30833604943,5053094.167079257,118,H1G 3M4,54210000,00000000,00000000,00000000,00000000,00000000,44521,00000,00000,00000,00000
POI5145021,296278.411984118,5051275.176090303,118,,30890000,51620000,00000000,00000000,00000000,00000000,326199,42261,00000,00000,00000
POI4355601,294056.67111315485,5049668.741448645,118,H1H 4H7,79410000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5123684,295777.2581350888,5050278.808683269,118,,75380000,35990000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5116212,293592.7752673971,5048837.284313244,118,H1H 5H1,60210000,50440000,61410000,62820000,61620000,00000000,00000,00000,00000,00000,00000
POI2042233,295860.03371925716,5053330.505782454,118,H1G 3K7,34330000,76990000,17110000,73590000,00000000,00000000,00000,00000,00000,00000,00000
POI2040531,295351.56420878536,5053736.222448546,118,H1G 1L5,57140000,00000000,00000000,00000000,00000000,00000000,442291,00000,00000,00000,00000
POI5120386,295411.178570025,5053294.267601356,118,,54110000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5132922,296314.6382681747,5052320.452202884,118,H1G 2V5,55410000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4156929,292704.2970442289,5050742.527485724,118,H7E 2R1,55210000,00000000,00000000,00000000,00000000,00000000,44112,00000,00000,00000,00000
POI4635168,295309.42431351484,5050889.062728983,118,H1G 5B2,75490000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4592519,295278.46540089994,5054175.864929775,118,H1G 6L2,72110000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4986078,293506.5165151026,5052238.9871500805,118,H7C 1N1,34790000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5018669,294955.14621273306,5053457.890156081,118,H1G 1L2,52310000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4727055,294231.1012014372,5049872.817065162,118,H1H 4A6,58120000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4357088,294806.4068247587,5053002.591847037,118,H1G 5X5,00000000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4476398,294852.70192617853,5049696.764641034,118,H1H 3R2,50930000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4721795,294894.1687820685,5049125.923074865,118,H1Z 4E9,75320000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4209975,295787.4740055447,5051304.32518474,118,H1G 4N6,17110000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4920019,295968.40126846463,5050933.551036605,118,H1R 1B3,50850000,30890000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5115720,294202.8029176349,5048459.039087715,118,H1Z 4G1,75320000,75380000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4205376,292941.4342700759,5049036.077590139,118,H2B 1V9,58130000,58120000,00000000,00000000,00000000,00000000,72241,722213,00000,00000,00000
