poi_id,xcoord,ycoord,sm13,post_code,sic_1,sic_2,sic_3,sic_4,sic_5,sic_6,naics_1,naics_2,naics_3,naics_4,naics_5
POI1222940,303962.31565533153,5044165.561662194,302,,17310000,15210000,34330000,50630000,00000000,00000000,00000,00000,00000,00000,00000
POI4964074,306065.4706956602,5044349.666656636,302,,80490000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4960575,306427.7251038667,5048386.493032552,302,,58130000,20820000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4960770,303962.31565533153,5044165.561662194,302,,72170000,73490000,76990000,00000000,00000000,00000000,56174,56172,81149,56179,333312
POI4967638,303962.31565533153,5044165.561662194,302,,50630000,50650000,00000000,00000000,00000000,00000000,42161,42169,00000,00000,00000
POI4966049,310144.1721362553,5046564.377639306,302,J4B 7K2,58120000,00000000,00000000,00000000,00000000,00000000,72231,00000,00000,00000,00000
POI4987786,303962.31565533153,5044165.561662194,302,,57340000,50440000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4962052,306322.9812992198,5043271.974424011,302,J4J 2K1,62820000,00000000,00000000,00000000,00000000,00000000,52393,00000,00000,00000,00000
POI4144536,305782.04739550204,5043530.057120629,302,J4J 3X3,78410000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI3355656,307403.9865220072,5047858.946502351,302,J4G 1Y3,73730000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI3355015,305061.52226228686,5043563.5250308765,302,J4H 3B1,73890000,00000000,00000000,00000000,00000000,00000000,54141,00000,00000,00000,00000
POI3355856,304852.0175604504,5043686.975299511,302,J4H 1Z5,83220000,00000000,00000000,00000000,00000000,00000000,62419,00000,00000,00000,00000
POI3355272,309331.99235918775,5047061.007323484,302,J4B 6G6,39930000,00000000,00000000,00000000,00000000,00000000,33995,00000,00000,00000,00000
POI3355627,306994.9744424972,5047684.979631578,302,J4G 1P8,50840000,00000000,00000000,00000000,00000000,00000000,42183,00000,00000,00000,00000
POI3355220,307028.98245694453,5043581.018797185,302,J4J 2V5,17310000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI1220666,304099.89290674735,5044435.982542432,302,J4H 1C5,61410000,00000000,00000000,00000000,00000000,00000000,522291,00000,00000,00000,00000
POI1222373,306913.1313573816,5047580.120793059,302,J4G 1R9,24340000,52110000,73890000,39930000,00000000,00000000,33711,44419,54142,33995,00000
POI1220763,304134.00613422366,5044448.036562505,302,J4H 1C6,87210000,87420000,00000000,00000000,00000000,00000000,541211,541613,541219,00000,00000
POI4363359,309071.0283964099,5047635.041836111,302,J4B 7A2,58120000,00000000,00000000,00000000,00000000,00000000,72211,00000,00000,00000,00000
POI1223180,308541.2821445333,5047540.948199212,302,J4N 1B8,50510000,17610000,17110000,00000000,00000000,00000000,42151,23561,23511,00000,00000
POI4963949,309818.00754694274,5046575.954537479,302,J4B 7M4,16290000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI1219918,309212.0144192401,5047166.052292262,302,J4B 6G6,42310000,00000000,00000000,00000000,00000000,00000000,48849,00000,00000,00000,00000
POI1220320,307277.07444862335,5047436.184266675,302,J4G 1R7,58120000,00000000,00000000,00000000,00000000,00000000,72211,00000,00000,00000,00000
POI1220327,306970.6464225475,5047157.219619335,302,J4G 1R7,30890000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI1220860,304720.7879345984,5043922.322523418,302,J4H 1V7,54110000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4145749,305688.788447176,5044094.963244004,302,J4J 1H4,17210000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4144577,306925.0113476666,5047992.012730748,302,J4G 1E5,80710000,00000000,00000000,00000000,00000000,00000000,621511,00000,00000,00000,00000
POI4359877,306249.7341625753,5043254.387251003,302,J4J 3Y2,75320000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
