ipere,feuillet,rang,ch_id,sdomi100,xdomi,ydomi,perslogi,autologi,srdomi,age,genre,permis,p_statut,p_mobil,hrede,motif,xorig,yorig,sorig100,srorig,xdest,ydest,sdest100,srdest,faclog,facper,f_menage,f_pers,f_chaine,mode,nb_bo,nb_depl,nb_lieux,ch_motif,ch_duree,ch_type_ind,ch_type_ouv,ch_type_fer,ch_type_simp,ch_type_comp,ch_mono_bo,ch_multi_bo,ch_contraint,ch_n_contraint
184,1000109,1,1,118,294992,5051544,2,1,4620611.02,59,2,2,4,1,1000,5,294992,5051544,118,4620611.02,295977,5052119,118,4620610.01,16.02,13.41,T,T,T,MARCHE,1,2,2,MA,30,0,,1,1,,1,,,1
185,1000109,1,1,118,294992,5051544,2,1,4620611.02,59,2,2,4,1,1030,3,295977,5052119,118,4620610.01,294992,5051544,118,4620611.02,16.02,13.41,,,,MARCHE,1,2,2,MA,30,0,,1,1,,1,,,1
186,1000109,1,2,118,294992,5051544,2,1,4620611.02,59,2,2,4,1,1300,4,294992,5051544,118,4620611.02,293171,5050127,118,4620619.00,16.02,13.41,,,T,TC,1,2,2,LS,30,0,,1,1,,1,,,1
187,1000109,1,2,118,294992,5051544,2,1,4620611.02,59,2,2,4,1,1330,3,293171,5050127,118,4620619.00,294992,5051544,118,4620611.02,16.02,13.41,,,,TC,1,2,2,LS,30,0,,1,1,,1,,,1
188,1000109,2,,118,294992,5051544,2,1,4620611.02,63,1,1,4,2,0,7,0,0,0,,0,0,0,,16.02,15.48,,T,,,,,,,,,,,,,,,,
227,1000126,1,,118,295350,5054231,1,0,4620610.03,77,1,1,4,2,0,7,0,0,0,,0,0,0,,23.8,24.61,T,T,,,,,,,,,,,,,,,,
507,1000296,1,,118,294181,5049266,2,1,4620613.00,53,2,2,1,2,0,7,0,0,0,,0,0,0,,27.25,26.49,T,T,,,,,,,,,,,,,,,,
508,1000296,2,1,118,294181,5049266,2,1,4620613.00,48,1,1,1,1,2230,1,294181,5049266,118,4620613.00,294513,5049521,118,4620613.00,27.25,27.62,,T,T,AC,0,1,2,IND,0,0,1,,,,,,,
977,1000594,1,1,118,293503,5049918,2,1,4620615.00,64,2,1,4,1,1530,5,293503,5049918,118,4620615.00,293652,5049686,118,4620614.00,17.24,16.53,T,T,T,MARCHE,1,2,2,MA,5,0,,1,1,,1,,,1
978,1000594,1,1,118,293503,5049918,2,1,4620615.00,64,2,1,4,1,1535,3,293652,5049686,118,4620614.00,293503,5049918,118,4620615.00,17.24,16.53,,,,MARCHE,1,2,2,MA,5,0,,1,1,,1,,,1
979,1000594,2,1,118,293503,5049918,2,1,4620615.00,59,1,1,1,1,615,1,293503,5049918,118,4620615.00,287462,5040078,119,4620415.05,17.24,17.66,,T,T,AC,1,2,2,TR,615,0,,1,1,,1,,1,
980,1000594,2,1,118,293503,5049918,2,1,4620615.00,59,1,1,1,1,1630,3,287462,5040078,119,4620415.05,293503,5049918,118,4620615.00,17.24,17.66,,,,AC,1,2,2,TR,615,0,,1,1,,1,,1,
1482,1000951,1,,118,294610,5050031,1,1,4620612.00,66,2,1,4,2,0,7,0,0,0,,0,0,0,,23.8,19.77,T,T,,,,,,,,,,,,,,,,
1628,1001053,1,1,118,295054,5050871,2,1,4620611.01,70,2,1,4,1,1415,5,295054,5050871,118,4620611.01,294513,5049521,118,4620613.00,18.44,18.47,T,T,T,AP,1,2,2,MA,60,0,,1,1,,1,,,1
1629,1001053,1,1,118,295054,5050871,2,1,4620611.01,70,2,1,4,1,1515,3,294513,5049521,118,4620613.00,295054,5050871,118,4620611.01,18.44,18.47,,,,AP,1,2,2,MA,60,0,,1,1,,1,,,1
1630,1001053,2,1,118,295054,5050871,2,1,4620611.01,72,1,1,4,1,1415,5,295054,5050871,118,4620611.01,294513,5049521,118,4620613.00,18.44,19.06,,T,T,AC,1,2,2,MA,60,0,,1,1,,1,,,1
1631,1001053,2,1,118,295054,5050871,2,1,4620611.01,72,1,1,4,1,1515,3,294513,5049521,118,4620613.00,295054,5050871,118,4620611.01,18.44,19.06,,,,AC,1,2,2,MA,60,0,,1,1,,1,,,1
2878,1001758,1,,118,293409,5050601,2,1,4620619.00,38,2,1,7,2,0,7,0,0,0,,0,0,0,,24.33,29.0,T,T,,,,,,,,,,,,,,,,
2879,1001758,2,1,118,293409,5050601,2,1,4620619.00,44,1,1,1,1,700,6,293409,5050601,118,4620619.00,293409,5050601,118,4620619.00,24.33,23.68,,T,T,TX,0,1,2,IND,0,0,1,,,,,,,
3822,1002293,1,,118,296208,5052592,1,0,4620610.01,75,2,1,4,2,0,7,0,0,0,,0,0,0,,23.8,23.84,T,T,,,,,,,,,,,,,,,,
4084,1002430,1,1,118,294198,5050472,5,0,4620616.00,42,1,2,5,1,745,6,294198,5050472,118,4620616.00,294449,5050539,118,4620616.00,24.69,24.03,T,T,T,MARCHE,1,2,2,RC,15,0,,1,1,,1,,1,
4085,1002430,1,1,118,294198,5050472,5,0,4620616.00,42,1,2,5,1,800,3,294449,5050539,118,4620616.00,294198,5050472,118,4620616.00,24.69,24.03,,,,MARCHE,1,2,2,RC,15,0,,1,1,,1,,1,
