ipere,feuillet,rang,ch_id,sdomi100,xdomi,ydomi,perslogi,autologi,srdomi,age,genre,permis,p_statut,p_mobil,hrede,motif,xorig,yorig,sorig100,srorig,xdest,ydest,sdest100,srdest,faclog,facper,f_menage,f_pers,f_chaine,mode,nb_bo,nb_depl,nb_lieux,ch_motif,ch_duree,ch_type_ind,ch_type_ouv,ch_type_fer,ch_type_simp,ch_type_comp,ch_mono_bo,ch_multi_bo,ch_contraint,ch_n_contraint
1176,1000734,1,1,310,317031,5041117,2,2,4620855.04,47,2,1,1,1,830,1,317031,5041117,310,4620855.04,309274,5047657,309,4620887.07,23.32,22.15,T,T,T,AC,1,3,3,TR,500,0,,1,,1,1,,1,
1177,1000734,1,1,310,317031,5041117,2,2,4620855.04,47,2,1,1,1,1600,5,309274,5047657,309,4620887.07,314308,5040611,310,4620855.01,23.32,22.15,,,,AC,1,3,3,TR,500,0,,1,,1,1,,1,
1178,1000734,1,1,310,317031,5041117,2,2,4620855.04,47,2,1,1,1,1650,3,314308,5040611,310,4620855.01,317031,5041117,310,4620855.04,23.32,22.15,,,,AC,1,3,3,TR,500,0,,1,,1,1,,1,
1179,1000734,2,1,310,317031,5041117,2,2,4620855.04,45,1,1,1,1,530,1,317031,5041117,310,4620855.04,301830,5047752,112,4620010,23.32,24.18,,T,T,AC,2,5,4,TR,540,0,,1,,1,,1,1,
1180,1000734,2,1,310,317031,5041117,2,2,4620855.04,45,1,1,1,1,600,6,301830,5047752,112,4620010,317031,5041117,310,4620855.04,23.32,24.18,,,,AC,2,5,4,TR,540,0,,1,,1,,1,1,
1181,1000734,2,1,310,317031,5041117,2,2,4620855.04,45,1,1,1,1,1130,6,317031,5041117,310,4620855.04,300108,5042797,102,4620049,23.32,24.18,,,,AC,2,5,4,TR,540,0,,1,,1,,1,1,
1182,1000734,2,1,310,317031,5041117,2,2,4620855.04,45,1,1,1,1,1300,1,300108,5042797,102,4620049,306695,5042989,303,4620873.02,23.32,24.18,,,,AC,2,5,4,TR,540,0,,1,,1,,1,1,
1183,1000734,2,1,310,317031,5041117,2,2,4620855.04,45,1,1,1,1,1430,3,306695,5042989,303,4620873.02,317031,5041117,310,4620855.04,23.32,24.18,,,,AC,2,5,4,TR,540,0,,1,,1,,1,1,
1184,1000734,2,2,310,317031,5041117,2,2,4620855.04,45,1,1,1,1,1500,5,317031,5041117,310,4620855.04,317230,5042983,310,4620854.01,23.32,24.18,,,T,AC,1,2,2,MA,15,0,,1,1,,1,,,1
1185,1000734,2,2,310,317031,5041117,2,2,4620855.04,45,1,1,1,1,1515,3,317230,5042983,310,4620854.01,317031,5041117,310,4620855.04,23.32,24.18,,,,AC,1,2,2,MA,15,0,,1,1,,1,,,1
