ipere,feuillet,rang,ch_id,sdomi100,xdomi,ydomi,perslogi,autologi,srdomi,age,genre,permis,p_statut,p_mobil,hrede,motif,xorig,yorig,sorig100,srorig,xdest,ydest,sdest100,srdest,faclog,facper,f_menage,f_pers,f_chaine,mode,nb_bo,nb_depl,nb_lieux,ch_motif,ch_duree,ch_type_ind,ch_type_ouv,ch_type_fer,ch_type_simp,ch_type_comp,ch_mono_bo,ch_multi_bo,ch_contraint,ch_n_contraint
55081,25072,1,,309,309191,5054595,2,1,4620889.03,68,1,1,4,2,0,0,0,0,0,,0,0,0,,21.15,23.12,T,T,,,,,,,,,,,,,,,,
55082,25072,2,1,309,309191,5054595,2,1,4620889.03,67,2,1,4,1,1330,5,309191,5054595,309,4620889.03,308624,5052726,309,4620889.01,21.15,23.12,,T,T,AC,1,2,2,MA,60,0,,1,1,,1,,,1
55083,25072,2,1,309,309191,5054595,2,1,4620889.03,67,2,1,4,1,1430,3,308624,5052726,309,4620889.01,309191,5054595,309,4620889.03,21.15,23.12,,,,AC,1,2,2,MA,60,0,,1,1,,1,,,1
120719,54072,1,1,309,309710,5049877,1,0,4620887.02,37,1,1,1,1,620,1,309710,5049877,309,4620887.02,308446,5048915,309,4620887.03,19.22,18.63,T,T,T,VELO,1,3,3,TR,550,0,,1,,1,1,,1,
120720,54072,1,1,309,309710,5049877,1,0,4620887.02,37,1,1,1,1,1500,6,308446,5048915,309,4620887.03,308905,5048321,309,4620887.03,19.22,18.63,,,,VELO,1,3,3,TR,550,0,,1,,1,1,,1,
120721,54072,1,1,309,309710,5049877,1,0,4620887.02,37,1,1,1,1,1530,3,308905,5048321,309,4620887.03,309710,5049877,309,4620887.02,19.22,18.63,,,,VELO,1,3,3,TR,550,0,,1,,1,1,,1,
121385,54342,1,1,309,307424,5049801,4,1,4620887.03,27,2,1,1,1,1500,5,307424,5049801,309,4620887.03,298381,5040516,105,4620128.00,22.45,24.57,T,T,T,TC,1,2,2,MA,60,0,,1,1,,1,,,1
121386,54342,1,1,309,307424,5049801,4,1,4620887.03,27,2,1,1,1,1600,3,298381,5040516,105,4620128.00,307424,5049801,309,4620887.03,22.45,24.57,,,,TC,1,2,2,MA,60,0,,1,1,,1,,,1
121387,54342,2,,309,307424,5049801,4,1,4620887.03,55,2,1,4,2,0,0,0,0,0,,0,0,0,,22.45,21.42,,T,,,,,,,,,,,,,,,,
121388,54342,3,1,309,307424,5049801,4,1,4620887.03,29,1,1,1,1,1500,5,307424,5049801,309,4620887.03,298510,5040468,102,4620129.02,22.45,25.57,,T,T,TC,1,2,2,MA,60,0,,1,1,,1,,,1
