poi_id,xcoord,ycoord,sm13,post_code,sic_1,sic_2,sic_3,sic_4,sic_5,sic_6,naics_1,naics_2,naics_3,naics_4,naics_5
POI2843441,311022.9707,5050527.002,309,J4B 8N2,15210000,17990000,0,0,0,0,0,0,0,0,0
POI4148183,308378.9692,5052582.994,309,J4B 4W4,72310000,59990000,0,0,0,0,812112,44612,0,0,0
POI4362127,309323.0288,5048122.977,309,J4B 7M6,63110000,64110000,0,0,0,0,524113,52421,0,0,0
POI2847439,310478.009,5046047.976,309,J4B 7Y4,76920000,35990000,0,0,0,0,81131,33271,0,0,0
POI3936151,309131.9849,5054964.048,309,J4B 6N6,87420000,0,0,0,0,0,541613,0,0,0,0
POI2845692,308610.9855,5051326.999,309,J4B 6T3,87420000,0,0,0,0,0,541613,0,0,0,0
POI2847087,309813.0314,5050060.049,309,J4B 5V9,72990000,0,0,0,0,0,0,0,0,0,0
POI2846176,308516.5647,5052725.651,309,J4B 4T2,57190000,26720000,50230000,0,0,0,442299,322222,42122,0,0
POI4147813,309979.0209,5050117.973,309,J4B 6P5,51360000,0,0,0,0,0,0,0,0,0,0
POI3936131,308476.0152,5047232.034,309,J4N 1C7,35990000,0,0,0,0,0,33271,0,0,0,0
POI2846258,311080.57,5047635.901,309,J4B 5H3,50840000,0,0,0,0,0,42183,0,0,0,0
POI4146754,308632.9691,5052497.016,309,J4B 4W8,58120000,0,0,0,0,0,72211,0,0,0,0
POI4962257,310186.9804,5046370.001,309,J4B 7L6,50210000,0,0,0,0,0,0,0,0,0,0
POI4140828,307790.997,5048621.04,309,J4G 1P4,17410000,32550000,0,0,0,0,0,0,0,0,0
POI3936174,308154.9833,5048486.977,309,J4B 1E6,87420000,0,0,0,0,0,541613,0,0,0,0
POI4141792,309332.9879,5052581.945,309,J4B 8G9,87210000,0,0,0,0,0,0,0,0,0,0
POI3936073,309720.7929,5048096.569,309,J4B 5S7,81110000,0,0,0,0,0,54111,0,0,0,0
POI3935481,313165.9707,5048160.049,309,J4B 5E4,35310000,0,0,0,0,0,0,0,0,0,0
POI4142125,311500.0164,5048015.018,309,J4B 7L4,51410000,0,0,0,0,0,42241,0,0,0,0
POI4144268,311208.011,5047880.02,309,J4B 5Z5,65310000,0,0,0,0,0,531311,0,0,0,0
POI4961799,312257.9813,5047936.971,309,J4B 8S5,57310000,0,0,0,0,0,443112,443111,339992,45114,513322
POI3935861,309493.0352,5047582.001,309,J4B 5H1,73730000,0,0,0,0,0,541512,0,0,0,0
POI4161303,307821.0175,5049160.044,309,J4B 1K7,76990000,0,0,0,0,0,0,0,0,0,0
