poi_id,xcoord,ycoord,sm13,post_code,sic_1,sic_2,sic_3,sic_4,sic_5,sic_6,naics_1,naics_2,naics_3,naics_4,naics_5
POI5133524,298000.46990232833,5042185.391171939,106,H2T 2S6,86410000,00000000,00000000,00000000,00000000,00000000,81341,00000,00000,00000,00000
POI4188162,299579.9250170255,5041845.251272222,106,H2X 3K7,58120000,00000000,00000000,00000000,00000000,00000000,72211,722211,00000,00000,00000
POI5136676,297847.9531073154,5043013.039931664,106,H2J 2L9,80930000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5118495,298959.8450342845,5043632.818243389,106,H2J 1Z5,57310000,00000000,00000000,00000000,00000000,00000000,443112,00000,00000,00000,00000
POI5128343,298837.63197731745,5043492.996433441,106,,50990000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5117158,299046.33136329375,5043405.230146729,106,,72310000,59990000,00000000,00000000,00000000,00000000,812112,44612,00000,00000,00000
POI4694716,297320.1453358304,5042162.827917979,106,H2V 4G1,60210000,50440000,61410000,62820000,61620000,00000000,00000,00000,00000,00000,00000
POI4182320,299126.0215726496,5044463.015563154,106,H2H 2S6,89990000,34430000,00000000,00000000,00000000,00000000,54162,00000,00000,00000,00000
POI1154965,298716.59042276646,5041262.381058076,106,H2X 2J1,86410000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4200958,297982.12256529846,5042267.9813824175,106,H2T 1R3,73610000,00000000,00000000,00000000,00000000,00000000,56131,00000,00000,00000,00000
POI4176116,299976.239853794,5043751.841821129,106,H2K 1E5,81110000,00000000,00000000,00000000,00000000,00000000,54111,00000,00000,00000,00000
POI4569714,297643.3294404823,5042014.313373517,106,H2V 4E4,56320000,00000000,00000000,00000000,00000000,00000000,44819,00000,00000,00000,00000
POI3790500,298437.3305702829,5042565.889836141,106,H2J 2L1,50920000,59450000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5136242,299577.3805168852,5044240.249620524,106,H2H 1N5,75390000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5136246,298335.3573734435,5044053.706543743,106,H2H 1W2,75140000,75130000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI3981494,298904.52507975337,5043196.324237366,106,H2J 2C1,58120000,00000000,00000000,00000000,00000000,00000000,72211,00000,00000,00000,00000
POI3981619,297419.10111780354,5042405.643049938,106,H2T 2N6,72310000,72410000,59990000,00000000,00000000,00000000,812112,812111,44612,00000,00000
POI5124888,298680.5112948877,5042002.991945758,106,H2W 1H1,07810000,00000000,00000000,00000000,00000000,00000000,54169,00000,00000,00000,00000
POI4174217,297473.21726120164,5042119.7507322505,106,H2V 4E7,59990000,00000000,00000000,00000000,00000000,00000000,45391,00000,00000,00000,00000
POI3818565,298216.3557487723,5044372.8883153815,106,H2H 1Z1,76990000,50510000,17610000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4438003,296667.36693170184,5042541.707931352,106,H2V 4H1,59920000,72990000,59990000,59470000,82990000,00000000,45311,81299,453998,45322,611699
POI5125753,300082.96487638116,5042137.027019569,106,H2L 3L4,52110000,73590000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI3785439,299768.6551193916,5042309.857494303,106,H2L 3L8,59320000,00000000,00000000,00000000,00000000,00000000,45331,00000,00000,00000,00000
POI4721035,297138.37945772044,5041865.660844788,106,H2V 2L5,72990000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4448213,297637.14114676317,5042410.502321757,106,H2T 2P4,80110000,00000000,00000000,00000000,00000000,00000000,621111,621399,00000,00000,00000
POI4210148,300829.7697522905,5044511.936393426,106,H1W 2M1,76990000,57190000,00000000,00000000,00000000,00000000,56179,442299,00000,00000,00000
POI5207617,298791.8011386676,5043348.680832667,106,H2J 1Y5,73750000,57310000,50920000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4919470,297737.24921427655,5044176.151656571,106,H2G 2Z7,35790000,35490000,50510000,35630000,34920000,00000000,42151,332618,333912,00000,00000
POI4205383,300092.4417657926,5042793.470291596,106,H2L 1S6,58130000,58120000,00000000,00000000,00000000,00000000,72241,72211,00000,00000,00000
POI3786281,298834.5832672983,5045131.852462392,106,H1Y 1W3,59420000,27310000,00000000,00000000,00000000,00000000,451211,51113,00000,00000,00000
POI5114311,298676.0268347961,5043891.001813114,106,H2H 1V7,56320000,00000000,00000000,00000000,00000000,00000000,44815,00000,00000,00000,00000
POI5114368,298372.87839176203,5043933.535088863,106,H2J 1J1,87210000,00000000,00000000,00000000,00000000,00000000,541211,541219,00000,00000,00000
POI5120012,299061.6614195788,5043171.951916677,106,H2J 3N9,35710000,73730000,00000000,00000000,00000000,00000000,334111,541512,00000,00000,00000
POI4722067,297582.8164786832,5042540.672636855,106,H2T 1R7,59410000,00000000,00000000,00000000,00000000,00000000,45111,00000,00000,00000,00000
POI4205360,298502.60035958735,5042917.775926456,106,H2J 1X1,58130000,58120000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4205362,298589.3471756952,5043116.058390188,106,H2J 1X7,58130000,58120000,00000000,00000000,00000000,00000000,72241,00000,00000,00000,00000
POI3787175,297354.875704916,5042923.478529864,106,H2T 1X3,27210000,59470000,51990000,73360000,00000000,00000000,51112,45322,42299,54143,00000
POI4205406,298903.9916317779,5042795.030496046,106,H2J 2J4,58130000,58120000,00000000,00000000,00000000,00000000,72241,72211,00000,00000,00000
POI4205351,298655.6283767805,5043159.445360625,106,H2J 1X8,58130000,58120000,00000000,00000000,00000000,00000000,72241,00000,00000,00000,00000
POI5089839,296591.49653933145,5042648.159193772,106,H2V 4H2,53990000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4991900,298801.99225973623,5041262.965634469,106,H2X 4B3,81110000,00000000,00000000,00000000,00000000,00000000,54111,00000,00000,00000,00000
POI5114578,298554.29015342786,5043915.459631074,106,H2J 1N1,80110000,00000000,00000000,00000000,00000000,00000000,621111,00000,00000,00000,00000
POI5114553,297980.47279888776,5043049.901096525,106,H2J 1J8,80110000,00000000,00000000,00000000,00000000,00000000,621111,00000,00000,00000,00000
POI5114557,298157.5862340003,5043227.965313844,106,H2J 1K6,80110000,72990000,00000000,00000000,00000000,00000000,621111,812199,621399,00000,00000
POI4728119,298023.5141472613,5044424.325337854,106,H2G 2T8,78190000,00000000,00000000,00000000,00000000,00000000,334612,00000,00000,00000,00000
POI4178059,298335.3573734435,5044053.706543743,106,H2H 1W2,75140000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5114626,297378.8680611012,5042338.789653274,106,H2T 2N9,73110000,87430000,00000000,00000000,00000000,00000000,54181,54182,00000,00000,00000
POI5114645,299252.16990403936,5042372.415178015,106,H2L 1E4,73110000,87430000,00000000,00000000,00000000,00000000,54181,54182,00000,00000,00000
POI5114637,299893.54069970606,5043468.566045021,106,H2K 1C3,73110000,87430000,00000000,00000000,00000000,00000000,54181,54182,00000,00000,00000
POI5114656,297957.0257135667,5042250.00549217,106,H2T 2T3,73110000,87430000,00000000,00000000,00000000,00000000,54181,54182,00000,00000,00000
POI5114607,300618.41170186625,5044260.27261987,106,H2K 2P5,83990000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5114792,300032.04088354186,5042564.919515589,106,H2L 1S1,59320000,00000000,00000000,00000000,00000000,00000000,45331,00000,00000,00000,00000
POI5114871,300205.07094206294,5042988.199414507,106,H2K 1T9,57220000,50640000,00000000,00000000,00000000,00000000,443111,00000,00000,00000,00000
POI5114840,299607.9798509803,5043278.939596711,106,H2K 4J9,65130000,00000000,00000000,00000000,00000000,00000000,53111,00000,00000,00000,00000
POI4766015,298397.8655385722,5042015.16500694,106,H2W 2R2,65310000,00000000,00000000,00000000,00000000,00000000,531311,00000,00000,00000,00000
POI5114775,300037.05197671225,5042168.51174594,106,H2L 3L7,59320000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5114696,298172.85614668403,5044225.018373081,106,H2H 1W3,36340000,00000000,00000000,00000000,00000000,00000000,335211,00000,00000,00000,00000
POI5114928,299031.30857206107,5042187.80365926,106,H2W 2M2,87120000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4206465,298478.4300519906,5041954.739238422,106,H2W 1Y8,53990000,00000000,00000000,00000000,00000000,00000000,45299,00000,00000,00000,00000
POI5114920,298216.1676960163,5044342.549662739,106,H2H 2S7,87330000,00000000,00000000,00000000,00000000,00000000,54172,00000,00000,00000,00000
POI5114938,299863.86703449994,5042485.035318636,106,H2L 3G4,87120000,00000000,00000000,00000000,00000000,00000000,54131,00000,00000,00000,00000
POI5114983,298813.7970040855,5042497.951640053,106,H2L 4H3,87120000,00000000,00000000,00000000,00000000,00000000,54131,00000,00000,00000,00000
POI5114936,298667.0247443784,5041872.981987843,106,H2W 1Y5,87120000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI3813007,297602.3990388145,5043110.000989328,106,H2J 2M3,59990000,80490000,50470000,00000000,00000000,00000000,446199,62134,00000,00000,00000
POI5114969,298572.04428673163,5041895.301723896,106,H2W 1Y9,87120000,00000000,00000000,00000000,00000000,00000000,54131,00000,00000,00000,00000
POI5114901,297631.22874679824,5042500.525191067,106,H2T 1R7,65310000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5114912,297513.0915877993,5042213.721084269,106,H2T 2P8,87480000,83310000,00000000,00000000,00000000,00000000,61171,62431,00000,00000,00000
POI4373131,299713.85937259387,5041980.732009261,106,H2L 1N8,65310000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5136339,299609.440811673,5042401.447956723,106,H2L 1H9,81110000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5115115,297324.1428021931,5043025.977969689,106,H2T 3B3,51990000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5115116,300308.39644978737,5043366.236844084,106,H2K 3T2,51990000,00000000,00000000,00000000,00000000,00000000,81341,00000,00000,00000,00000
POI5115173,299005.96933111,5042411.9780967515,106,H2L 4H2,86410000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI5115084,297354.875704916,5042923.478529864,106,H2T 1X3,89990000,00000000,00000000,00000000,00000000,00000000,71151,00000,00000,00000,00000
POI5116394,298785.2722253549,5045010.43294136,106,H1Y 1V7,58130000,00000000,00000000,00000000,00000000,00000000,72241,00000,00000,00000,00000
