ipere,feuillet,rang,ch_id,sdomi100,xdomi,ydomi,perslogi,autologi,srdomi,age,genre,permis,p_statut,p_mobil,hrede,motif,xorig,yorig,sorig100,srorig,xdest,ydest,sdest100,srdest,faclog,facper,f_menage,f_pers,f_chaine,mode,nb_bo,nb_depl,nb_lieux,ch_motif,ch_duree,ch_type_ind,ch_type_ouv,ch_type_fer,ch_type_simp,ch_type_comp,ch_mono_bo,ch_multi_bo,ch_contraint,ch_n_contraint
19316,9061,1,,302,306239,5046934,3,1,4620886.01,48,2,1,1,2,0,0,0,0,0,,0,0,0,,27.35,27.15,T,T,,,,,,,,,,,,,,,,
19317,9061,2,1,302,306239,5046934,3,1,4620886.01,18,1,2,3,1,800,2,306239,5046934,302,4620886.01,303339,5041787,304,4620864.00,27.35,26.23,,T,T,TC,1,2,2,ET,480,0,,1,1,,1,,1,
19318,9061,2,1,302,306239,5046934,3,1,4620886.01,18,1,2,3,1,1600,3,303339,5041787,304,4620864.00,306239,5046934,302,4620886.01,27.35,26.23,,,,TC,1,2,2,ET,480,0,,1,1,,1,,1,
19319,9061,3,1,302,306239,5046934,3,1,4620886.01,16,1,2,3,1,730,2,306239,5046934,302,4620886.01,306129,5041006,303,4620872.00,27.35,26.23,,T,T,TC,1,2,2,ET,480,0,,1,1,,1,,1,
19320,9061,3,1,302,306239,5046934,3,1,4620886.01,16,1,2,3,1,1530,3,306129,5041006,303,4620872.00,306239,5046934,302,4620886.01,27.35,26.23,,,,TC,1,2,2,ET,480,0,,1,1,,1,,1,
20665,9759,1,1,302,307975,5042844,3,1,4620876.01,22,1,2,1,1,1800,5,307975,5042844,302,4620876.01,308138,5042147,302,4620876.01,34.97,39.81,T,T,T,AP,1,2,2,MA,30,0,,1,1,,1,,,1
20666,9759,1,1,302,307975,5042844,3,1,4620876.01,22,1,2,1,1,1830,3,308138,5042147,302,4620876.01,307975,5042844,302,4620876.01,34.97,39.81,,,,AP,1,2,2,MA,30,0,,1,1,,1,,,1
20667,9759,2,1,302,307975,5042844,3,1,4620876.01,18,2,1,1,1,1800,5,307975,5042844,302,4620876.01,308138,5042147,302,4620876.01,34.97,35.76,,T,T,AC,1,2,2,MA,30,0,,1,1,,1,,,1
20668,9759,2,1,302,307975,5042844,3,1,4620876.01,18,2,1,1,1,1830,3,308138,5042147,302,4620876.01,307975,5042844,302,4620876.01,34.97,35.76,,,,AC,1,2,2,MA,30,0,,1,1,,1,,,1
20669,9759,3,1,302,307975,5042844,3,1,4620876.01,19,1,1,2,1,2330,1,307975,5042844,302,4620876.01,307522,5042503,303,4620871.01,34.97,35.76,,T,T,AC,0,1,2,TR,360,0,1,,,,,,,
106355,47981,1,,302,304514,5045314,2,1,4620885.00,65,1,1,4,2,0,0,0,0,0,,0,0,0,,24.0,22.56,T,T,,,,,,,,,,,,,,,,
106356,47981,2,,302,304514,5045314,2,1,4620885.00,58,2,1,5,2,0,0,0,0,0,,0,0,0,,24.0,23.05,,T,,,,,,,,,,,,,,,,
106489,48052,1,1,302,304101,5044700,4,1,4620885.00,35,2,1,1,1,700,1,304101,5044700,302,4620885.00,297567,5045360,110,4620206.00,24.0,23.51,T,T,T,AC,1,2,2,TR,600,0,,1,1,,1,,1,
106490,48052,1,1,302,304101,5044700,4,1,4620885.00,35,2,1,1,1,1700,3,297567,5045360,110,4620206.00,304101,5044700,302,4620885.00,24.0,23.51,,,,AC,1,2,2,TR,600,0,,1,1,,1,,1,
106491,48052,2,1,302,304101,5044700,4,1,4620885.00,11,2,5,3,1,730,2,304101,5044700,302,4620885.00,306544,5042696,303,4620873.02,24.0,26.04,,T,T,AP,1,2,2,ET,570,0,,1,1,,1,,1,
106492,48052,2,1,302,304101,5044700,4,1,4620885.00,11,2,5,3,1,1700,3,306544,5042696,303,4620873.02,304101,5044700,302,4620885.00,24.0,26.04,,,,AP,1,2,2,ET,570,0,,1,1,,1,,1,
106493,48052,3,1,302,304101,5044700,4,1,4620885.00,8,1,5,3,1,730,2,304101,5044700,302,4620885.00,304417,5044402,302,4620885.00,24.0,26.04,,T,T,AP,1,2,2,ET,570,0,,1,1,,1,,1,
106494,48052,3,1,302,304101,5044700,4,1,4620885.00,8,1,5,3,1,1700,3,304417,5044402,302,4620885.00,304101,5044700,302,4620885.00,24.0,26.04,,,,AP,1,2,2,ET,570,0,,1,1,,1,,1,
106495,48052,4,1,302,304101,5044700,4,1,4620885.00,8,2,5,3,1,730,2,304101,5044700,302,4620885.00,304417,5044402,302,4620885.00,24.0,26.04,,T,T,AP,1,2,2,ET,570,0,,1,1,,1,,1,
106496,48052,4,1,302,304101,5044700,4,1,4620885.00,8,2,5,3,1,1700,3,304417,5044402,302,4620885.00,304101,5044700,302,4620885.00,24.0,26.04,,,,AP,1,2,2,ET,570,0,,1,1,,1,,1,
106523,48063,1,1,302,304984,5044298,4,1,4620885.00,44,1,1,1,1,700,1,304984,5044298,302,4620885.00,304844,5044108,302,4620885.00,25.44,28.41,T,T,T,AC,1,2,2,TR,360,0,,1,1,,1,,1,
106524,48063,1,1,302,304984,5044298,4,1,4620885.00,44,1,1,1,1,1300,3,304844,5044108,302,4620885.00,304984,5044298,302,4620885.00,25.44,28.41,,,,AC,1,2,2,TR,360,0,,1,1,,1,,1,
106525,48063,1,2,302,304984,5044298,4,1,4620885.00,44,1,1,1,1,1500,5,304984,5044298,302,4620885.00,303709,5043070,301,4620884.02,25.44,28.41,,,T,AC,1,2,2,MA,45,0,,1,1,,1,,,1
106526,48063,1,2,302,304984,5044298,4,1,4620885.00,44,1,1,1,1,1545,3,303709,5043070,301,4620884.02,304984,5044298,302,4620885.00,25.44,28.41,,,,AC,1,2,2,MA,45,0,,1,1,,1,,,1
106527,48063,2,1,302,304984,5044298,4,1,4620885.00,42,2,2,1,1,700,1,304984,5044298,302,4620885.00,299157,5040091,101,4620062.00,25.44,24.92,,T,T,TC,1,2,2,TR,540,0,,1,1,,1,,1,
106528,48063,2,1,302,304984,5044298,4,1,4620885.00,42,2,2,1,1,1600,3,299157,5040091,101,4620062.00,304984,5044298,302,4620885.00,25.44,24.92,,,,TC,1,2,2,TR,540,0,,1,1,,1,,1,
106529,48063,3,1,302,304984,5044298,4,1,4620885.00,17,1,2,3,1,800,2,304984,5044298,302,4620885.00,299660,5041633,101,4620059.00,25.44,27.6,,T,T,TC,1,2,2,ET,360,0,,1,1,,1,,1,
106530,48063,3,1,302,304984,5044298,4,1,4620885.00,17,1,2,3,1,1400,3,299660,5041633,101,4620059.00,304984,5044298,302,4620885.00,25.44,27.6,,,,TC,1,2,2,ET,360,0,,1,1,,1,,1,
106531,48063,4,,302,304984,5044298,4,1,4620885.00,10,2,5,3,2,0,0,0,0,0,,0,0,0,,25.44,27.6,,T,,,,,,,,,,,,,,,,
106580,48088,1,1,302,305122,5044263,4,1,4620885.00,32,2,1,1,1,645,1,305122,5044263,302,4620885.00,305277,5041192,301,4620882.00,29.93,36.12,T,T,T,TC,1,2,2,TR,315,0,,1,1,,1,,1,
106581,48088,1,1,302,305122,5044263,4,1,4620885.00,32,2,1,1,1,1200,3,305277,5041192,301,4620882.00,305122,5044263,302,4620885.00,29.93,36.12,,,,AP,1,2,2,TR,315,0,,1,1,,1,,1,
106582,48088,1,2,302,305122,5044263,4,1,4620885.00,32,2,1,1,1,1300,6,305122,5044263,302,4620885.00,305383,5045083,302,4620885.00,29.93,36.12,,,T,AC,1,4,4,TR,135,0,,1,,1,1,,1,
106583,48088,1,2,302,305122,5044263,4,1,4620885.00,32,2,1,1,1,1315,1,305383,5045083,302,4620885.00,305277,5041192,301,4620882.00,29.93,36.12,,,,AC,1,4,4,TR,135,0,,1,,1,1,,1,
106584,48088,1,2,302,305122,5044263,4,1,4620885.00,32,2,1,1,1,1500,6,305277,5041192,301,4620882.00,306070,5044359,302,4620878.00,29.93,36.12,,,,AC,1,4,4,TR,135,0,,1,,1,1,,1,
106585,48088,1,2,302,305122,5044263,4,1,4620885.00,32,2,1,1,1,1515,3,306070,5044359,302,4620878.00,305122,5044263,302,4620885.00,29.93,36.12,,,,AC,1,4,4,TR,135,0,,1,,1,1,,1,
106586,48088,2,1,302,305122,5044263,4,1,4620885.00,30,1,1,1,1,815,6,305122,5044263,302,4620885.00,306070,5044359,302,4620878.00,29.93,35.72,,T,T,AC,1,4,4,TR,240,0,,1,,1,1,,1,
106587,48088,2,1,302,305122,5044263,4,1,4620885.00,30,1,1,1,1,830,1,306070,5044359,302,4620878.00,305383,5045083,302,4620885.00,29.93,35.72,,,,AC,1,4,4,TR,240,0,,1,,1,1,,1,
106588,48088,2,1,302,305122,5044263,4,1,4620885.00,30,1,1,1,1,1200,6,305383,5045083,302,4620885.00,305277,5041192,301,4620882.00,29.93,35.72,,,,AC,1,4,4,TR,240,0,,1,,1,1,,1,
106589,48088,2,1,302,305122,5044263,4,1,4620885.00,30,1,1,1,1,1215,3,305277,5041192,301,4620882.00,305122,5044263,302,4620885.00,29.93,35.72,,,,AC,1,4,4,TR,240,0,,1,,1,1,,1,
106590,48088,2,2,302,305122,5044263,4,1,4620885.00,30,1,1,1,1,1300,1,305122,5044263,302,4620885.00,305383,5045083,302,4620885.00,29.93,35.72,,,T,AP,1,2,2,TR,240,0,,1,1,,1,,1,
106591,48088,2,2,302,305122,5044263,4,1,4620885.00,30,1,1,1,1,1700,3,305383,5045083,302,4620885.00,305122,5044263,302,4620885.00,29.93,35.72,,,,MARCHE,1,2,2,TR,240,0,,1,1,,1,,1,
106592,48088,3,,302,305122,5044263,4,1,4620885.00,4,1,5,6,3,0,0,0,0,0,,0,0,0,,29.93,32.47,,T,,,,,,,,,,,,,,,,
106593,48088,4,,302,305122,5044263,4,1,4620885.00,2,2,5,6,3,0,0,0,0,0,,0,0,0,,29.93,32.47,,T,,,,,,,,,,,,,,,,
107476,48567,1,1,302,306441,5044733,1,1,4620877.02,67,2,1,4,1,845,6,306441,5044733,302,4620877.02,306451,5044765,302,4620877.02,25.68,27.94,T,T,T,AC,2,4,3,RC,185,0,,1,,1,,1,1,
107477,48567,1,1,302,306441,5044733,1,1,4620877.02,67,2,1,4,1,847,4,306451,5044765,302,4620877.02,304916,5043734,301,4620879.02,25.68,27.94,,,,AC,2,4,3,RC,185,0,,1,,1,,1,1,
107478,48567,1,1,302,306441,5044733,1,1,4620877.02,67,2,1,4,1,1140,6,304916,5043734,301,4620879.02,306451,5044765,302,4620877.02,25.68,27.94,,,,AC,2,4,3,RC,185,0,,1,,1,,1,1,
107479,48567,1,1,302,306441,5044733,1,1,4620877.02,67,2,1,4,1,1150,3,306451,5044765,302,4620877.02,306441,5044733,302,4620877.02,25.68,27.94,,,,AC,2,4,3,RC,185,0,,1,,1,,1,1,
107480,48567,1,2,302,306441,5044733,1,1,4620877.02,67,2,1,4,1,1430,6,306441,5044733,302,4620877.02,308145,5044368,302,4620877.01,25.68,27.94,,,T,AC,1,2,2,AT,30,0,,1,1,,1,,,1
107481,48567,1,2,302,306441,5044733,1,1,4620877.02,67,2,1,4,1,1500,3,308145,5044368,302,4620877.01,306441,5044733,302,4620877.02,25.68,27.94,,,,AC,1,2,2,AT,30,0,,1,1,,1,,,1
107512,48593,1,1,302,305977,5044443,1,1,4620877.02,49,1,1,1,1,645,1,305977,5044443,302,4620877.02,304448,5040696,304,4620864.00,25.68,30.0,T,T,T,AC,1,2,2,TR,555,0,,1,1,,1,,1,
107513,48593,1,1,302,305977,5044443,1,1,4620877.02,49,1,1,1,1,1600,3,304448,5040696,304,4620864.00,305977,5044443,302,4620877.02,25.68,30.0,,,,AC,1,2,2,TR,555,0,,1,1,,1,,1,
107514,48593,1,2,302,305977,5044443,1,1,4620877.02,49,1,1,1,1,2030,4,305977,5044443,302,4620877.02,307221,5043593,302,4620875.00,25.68,30.0,,,T,AC,1,2,2,LS,150,0,,1,1,,1,,,1
107515,48593,1,2,302,305977,5044443,1,1,4620877.02,49,1,1,1,1,2300,3,307221,5043593,302,4620875.00,305977,5044443,302,4620877.02,25.68,30.0,,,,AC,1,2,2,LS,150,0,,1,1,,1,,,1
107799,48740,1,1,302,306788,5044564,3,1,4620877.02,22,1,1,1,1,2400,6,306788,5044564,302,4620877.02,305881,5039803,306,4620861.00,24.51,28.81,T,T,T,AC,0,1,2,AT,60,0,1,,,,,,,
107800,48740,2,,302,306788,5044564,3,1,4620877.02,20,2,1,1,2,0,0,0,0,0,,0,0,0,,24.51,26.88,,T,,,,,,,,,,,,,,,,
107801,48740,3,,302,306788,5044564,3,1,4620877.02,1,2,5,6,3,0,0,0,0,0,,0,0,0,,24.51,23.51,,T,,,,,,,,,,,,,,,,
107900,48776,1,1,302,306788,5044564,2,1,4620877.02,38,1,1,1,1,700,6,306788,5044564,302,4620877.02,304680,5044638,302,4620885.00,30.57,35.71,T,T,T,AC,2,4,3,TR,600,0,,1,,1,,1,1,
107901,48776,1,1,302,306788,5044564,2,1,4620877.02,38,1,1,1,1,730,1,304680,5044638,302,4620885.00,296706,5053664,114,4620290.05,30.57,35.71,,,,AC,2,4,3,TR,600,0,,1,,1,,1,1,
107902,48776,1,1,302,306788,5044564,2,1,4620877.02,38,1,1,1,1,1630,6,296706,5053664,114,4620290.05,304680,5044638,302,4620885.00,30.57,35.71,,,,AC,2,4,3,TR,600,0,,1,,1,,1,1,
107903,48776,1,1,302,306788,5044564,2,1,4620877.02,38,1,1,1,1,1700,3,304680,5044638,302,4620885.00,306788,5044564,302,4620877.02,30.57,35.71,,,,AC,2,4,3,TR,600,0,,1,,1,,1,1,
107904,48776,1,2,302,306788,5044564,2,1,4620877.02,38,1,1,1,1,2000,5,306788,5044564,302,4620877.02,303709,5043070,301,4620884.02,30.57,35.71,,,T,AC,1,2,2,MA,50,0,,1,1,,1,,,1
107905,48776,1,2,302,306788,5044564,2,1,4620877.02,38,1,1,1,1,2050,3,303709,5043070,301,4620884.02,306788,5044564,302,4620877.02,30.57,35.71,,,,AC,1,2,2,MA,50,0,,1,1,,1,,,1
107906,48776,2,1,302,306788,5044564,2,1,4620877.02,10,1,5,3,1,700,2,306788,5044564,302,4620877.02,304680,5044638,302,4620885.00,30.57,29.32,,T,T,AP,1,2,2,ET,600,0,,1,1,,1,,1,
107907,48776,2,1,302,306788,5044564,2,1,4620877.02,10,1,5,3,1,1700,3,304680,5044638,302,4620885.00,306788,5044564,302,4620877.02,30.57,29.32,,,,AP,1,2,2,ET,600,0,,1,1,,1,,1,
108094,48867,1,1,302,305501,5043911,1,1,4620878.00,52,1,1,1,1,730,1,305501,5043911,302,4620878.00,300959,5027211,544,4620829.00,27.41,27.61,T,T,T,AC,1,3,3,TR,810,0,,1,,1,1,,1,
108095,48867,1,1,302,305501,5043911,1,1,4620878.00,52,1,1,1,1,1945,4,300959,5027211,544,4620829.00,308779,5051199,309,4620887.04,27.41,27.61,,,,AC,1,3,3,TR,810,0,,1,,1,1,,1,
108096,48867,1,1,302,305501,5043911,1,1,4620878.00,52,1,1,1,1,2100,3,308779,5051199,309,4620887.04,305501,5043911,302,4620878.00,27.41,27.61,,,,AC,1,3,3,TR,810,0,,1,,1,1,,1,
108292,48968,1,1,302,304899,5044186,1,0,4620885.00,60,2,2,1,1,815,1,304899,5044186,302,4620885.00,296953,5037970,122,4620352.00,31.44,30.19,T,T,T,TC,1,2,2,TR,540,0,,1,1,,1,,1,
108293,48968,1,1,302,304899,5044186,1,0,4620885.00,60,2,2,1,1,1715,3,296953,5037970,122,4620352.00,304899,5044186,302,4620885.00,31.44,30.19,,,,TC,1,2,2,TR,540,0,,1,1,,1,,1,
108828,49195,1,1,302,307662,5042564,7,2,4620876.01,33,2,1,1,1,705,6,307662,5042564,302,4620876.01,306069,5041604,303,4620872.00,34.97,36.56,T,T,T,AC,2,5,4,TR,610,0,,1,,1,,1,1,
108829,49195,1,1,302,307662,5042564,7,2,4620876.01,33,2,1,1,1,720,6,306069,5041604,303,4620872.00,304848,5041843,301,4620882.00,34.97,36.56,,,,AC,2,5,4,TR,610,0,,1,,1,,1,1,
108830,49195,1,1,302,307662,5042564,7,2,4620876.01,33,2,1,1,1,730,1,304848,5041843,301,4620882.00,297691,5054512,114,4620290.09,34.97,36.56,,,,AC,2,5,4,TR,610,0,,1,,1,,1,1,
108831,49195,1,1,302,307662,5042564,7,2,4620876.01,33,2,1,1,1,1705,6,297691,5054512,114,4620290.09,304848,5041843,301,4620882.00,34.97,36.56,,,,AC,2,5,4,TR,610,0,,1,,1,,1,1,
108832,49195,1,1,302,307662,5042564,7,2,4620876.01,33,2,1,1,1,1715,3,304848,5041843,301,4620882.00,307662,5042564,302,4620876.01,34.97,36.56,,,,AC,2,5,4,TR,610,0,,1,,1,,1,1,
108833,49195,2,1,302,307662,5042564,7,2,4620876.01,41,1,1,1,1,730,3,294761,5045599,107,4620239.00,307662,5042564,302,4620876.01,34.97,30.96,,T,T,AC,0,1,2,IND,0,1,,1,,,,,,
108834,49195,2,2,302,307662,5042564,7,2,4620876.01,41,1,1,1,1,1630,6,307662,5042564,302,4620876.01,306069,5041604,303,4620872.00,34.97,30.96,,,T,AC,1,2,2,RC,45,0,,1,1,,1,,1,
108835,49195,2,2,302,307662,5042564,7,2,4620876.01,41,1,1,1,1,1715,3,306069,5041604,303,4620872.00,307662,5042564,302,4620876.01,34.97,30.96,,,,AC,1,2,2,RC,45,0,,1,1,,1,,1,
108836,49195,2,3,302,307662,5042564,7,2,4620876.01,41,1,1,1,1,2145,1,307662,5042564,302,4620876.01,294761,5045599,107,4620239.00,34.97,30.96,,,T,AC,0,1,2,TR,360,0,1,,,,,,,
108837,49195,3,1,302,307662,5042564,7,2,4620876.01,12,1,5,3,1,705,2,307662,5042564,302,4620876.01,305800,5041183,303,4620872.00,34.97,35.76,,T,T,BS,1,2,2,ET,490,0,,1,1,,1,,1,
108838,49195,3,1,302,307662,5042564,7,2,4620876.01,12,1,5,3,1,1515,3,305800,5041183,303,4620872.00,307662,5042564,302,4620876.01,34.97,35.76,,,,BS,1,2,2,ET,490,0,,1,1,,1,,1,
108839,49195,4,1,302,307662,5042564,7,2,4620876.01,10,2,5,3,1,705,2,307662,5042564,302,4620876.01,304848,5041843,301,4620882.00,34.97,35.76,,T,T,AP,1,2,2,ET,610,0,,1,1,,1,,1,
108840,49195,4,1,302,307662,5042564,7,2,4620876.01,10,2,5,3,1,1715,3,304848,5041843,301,4620882.00,307662,5042564,302,4620876.01,34.97,35.76,,,,AP,1,2,2,ET,610,0,,1,1,,1,,1,
108841,49195,5,1,302,307662,5042564,7,2,4620876.01,9,1,5,3,1,705,2,307662,5042564,302,4620876.01,304848,5041843,301,4620882.00,34.97,35.76,,T,T,AP,1,2,2,ET,610,0,,1,1,,1,,1,
108842,49195,5,1,302,307662,5042564,7,2,4620876.01,9,1,5,3,1,1715,3,304848,5041843,301,4620882.00,307662,5042564,302,4620876.01,34.97,35.76,,,,AP,1,2,2,ET,610,0,,1,1,,1,,1,
108843,49195,6,1,302,307662,5042564,7,2,4620876.01,9,1,5,3,1,705,2,307662,5042564,302,4620876.01,306069,5041604,303,4620872.00,34.97,35.76,,T,T,AP,1,2,2,ET,610,0,,1,1,,1,,1,
108844,49195,6,1,302,307662,5042564,7,2,4620876.01,9,1,5,3,1,1715,3,306069,5041604,303,4620872.00,307662,5042564,302,4620876.01,34.97,35.76,,,,AP,1,2,2,ET,610,0,,1,1,,1,,1,
108845,49195,7,1,302,307662,5042564,7,2,4620876.01,7,1,5,3,1,705,2,307662,5042564,302,4620876.01,306069,5041604,303,4620872.00,34.97,35.76,,T,T,AP,1,2,2,ET,610,0,,1,1,,1,,1,
108846,49195,7,1,302,307662,5042564,7,2,4620876.01,7,1,5,3,1,1715,3,306069,5041604,303,4620872.00,307662,5042564,302,4620876.01,34.97,35.76,,,,AP,1,2,2,ET,610,0,,1,1,,1,,1,
109570,49568,1,1,302,306155,5048068,1,1,4620886.03,37,2,1,7,1,850,6,306155,5048068,302,4620886.03,305889,5047750,302,4620886.03,25.95,25.43,T,T,T,AC,1,2,2,AT,40,0,,1,1,,1,,,1
109571,49568,1,1,302,306155,5048068,1,1,4620886.03,37,2,1,7,1,930,3,305889,5047750,302,4620886.03,306155,5048068,302,4620886.03,25.95,25.43,,,,AC,1,2,2,AT,40,0,,1,1,,1,,,1
109572,49568,1,2,302,306155,5048068,1,1,4620886.03,37,2,1,7,1,1700,4,306155,5048068,302,4620886.03,307212,5044113,302,4620874.00,25.95,25.43,,,T,AC,1,2,2,LS,120,0,,1,1,,1,,,1
109573,49568,1,2,302,306155,5048068,1,1,4620886.03,37,2,1,7,1,1900,3,307212,5044113,302,4620874.00,306155,5048068,302,4620886.03,25.95,25.43,,,,AC,1,2,2,LS,120,0,,1,1,,1,,,1
109574,49569,1,1,302,305744,5047322,1,1,4620886.03,55,1,1,5,1,800,1,305744,5047322,302,4620886.03,299310,5040174,101,4620062.00,25.95,26.14,T,T,T,AC,1,2,2,TR,420,0,,1,1,,1,,1,
109575,49569,1,1,302,305744,5047322,1,1,4620886.03,55,1,1,5,1,1500,3,299310,5040174,101,4620062.00,305744,5047322,302,4620886.03,25.95,26.14,,,,AC,1,2,2,TR,420,0,,1,1,,1,,1,
109576,49570,1,1,302,305492,5046840,4,2,4620886.03,19,2,1,3,1,740,2,305492,5046840,302,4620886.03,298881,5040310,101,4620062.00,32.18,34.92,T,T,T,TC,1,3,3,ET,695,0,,1,,1,1,,1,
109577,49570,1,1,302,305492,5046840,4,2,4620886.03,19,2,1,3,1,1500,1,298881,5040310,101,4620062.00,304095,5044590,301,4620884.02,32.18,34.92,,,,TC,1,3,3,ET,695,0,,1,,1,1,,1,
109578,49570,1,1,302,305492,5046840,4,2,4620886.03,19,2,1,3,1,1915,3,304095,5044590,301,4620884.02,305492,5046840,302,4620886.03,32.18,34.92,,,,AP,1,3,3,ET,695,0,,1,,1,1,,1,
109579,49570,2,1,302,305492,5046840,4,2,4620886.03,48,2,1,1,1,830,1,305492,5046840,302,4620886.03,302061,5050735,112,4620192.00,32.18,31.53,,T,T,AC,1,2,2,TR,570,0,,1,1,,1,,1,
109580,49570,2,1,302,305492,5046840,4,2,4620886.03,48,2,1,1,1,1800,3,302061,5050735,112,4620192.00,305492,5046840,302,4620886.03,32.18,31.53,,,,AC,1,2,2,TR,570,0,,1,1,,1,,1,
109581,49570,2,2,302,305492,5046840,4,2,4620886.03,48,2,1,1,1,2020,5,305492,5046840,302,4620886.03,310134,5040631,307,4620857.11,32.18,31.53,,,T,AC,1,2,2,MA,110,0,,1,1,,1,,,1
109582,49570,2,2,302,305492,5046840,4,2,4620886.03,48,2,1,1,1,2210,3,310134,5040631,307,4620857.11,305492,5046840,302,4620886.03,32.18,31.53,,,,AC,1,2,2,MA,110,0,,1,1,,1,,,1
109583,49570,3,1,302,305492,5046840,4,2,4620886.03,46,1,1,1,1,720,1,305492,5046840,302,4620886.03,306052,5045678,302,4620877.01,32.18,35.94,,T,T,AC,1,2,2,TR,610,0,,1,1,,1,,1,
109584,49570,3,1,302,305492,5046840,4,2,4620886.03,46,1,1,1,1,1730,3,306052,5045678,302,4620877.01,305492,5046840,302,4620886.03,32.18,35.94,,,,AC,1,2,2,TR,610,0,,1,1,,1,,1,
109585,49570,3,2,302,305492,5046840,4,2,4620886.03,46,1,1,1,1,2020,5,305492,5046840,302,4620886.03,310134,5040631,307,4620857.11,32.18,35.94,,,T,AP,1,2,2,MA,110,0,,1,1,,1,,,1
109586,49570,3,2,302,305492,5046840,4,2,4620886.03,46,1,1,1,1,2210,3,310134,5040631,307,4620857.11,305492,5046840,302,4620886.03,32.18,35.94,,,,AP,1,2,2,MA,110,0,,1,1,,1,,,1
109587,49570,4,,302,305492,5046840,4,2,4620886.03,83,2,1,4,2,0,0,0,0,0,,0,0,0,,32.18,30.25,,T,,,,,,,,,,,,,,,,
109588,49572,1,1,302,305435,5046904,2,1,4620886.03,55,1,1,5,1,1500,4,305435,5046904,302,4620886.03,295592,5050046,117,4620604.04,27.35,27.56,T,T,T,AC,1,2,2,LS,60,0,,1,1,,1,,,1
109589,49572,1,1,302,305435,5046904,2,1,4620886.03,55,1,1,5,1,1600,3,295592,5050046,117,4620604.04,305435,5046904,302,4620886.03,27.35,27.56,,,,AC,1,2,2,LS,60,0,,1,1,,1,,,1
109590,49572,2,,302,305435,5046904,2,1,4620886.03,55,2,1,5,2,0,0,0,0,0,,0,0,0,,27.35,26.27,,T,,,,,,,,,,,,,,,,
