ipere,feuillet,rang,ch_id,sdomi100,xdomi,ydomi,perslogi,autologi,srdomi,age,genre,permis,p_statut,p_mobil,hrede,motif,xorig,yorig,sorig100,srorig,xdest,ydest,sdest100,srdest,faclog,facper,f_menage,f_pers,f_chaine,mode,nb_bo,nb_depl,nb_lieux,ch_motif,ch_duree,ch_type_ind,ch_type_ouv,ch_type_fer,ch_type_simp,ch_type_comp,ch_mono_bo,ch_multi_bo,ch_contraint,ch_n_contraint
428,1000265,1,1,309,309320,5050582,1,1,4620887.04,33,1,1,1,1,1345,4,309320,5050582,309,4620887.04,319187,5047107,531,4620903.01,36.7,36,T,T,T,AC,1,2,2,LS,180,0,,1,1,,1,,,1
429,1000265,1,1,309,309320,5050582,1,1,4620887.04,33,1,1,1,1,1645,3,319187,5047107,531,4620903.01,309320,5050582,309,4620887.04,36.7,36,,,,AC,1,2,2,LS,180,0,,1,1,,1,,,1
470,1000282,1,1,309,310817,5051267,4,2,4620888.02,39,2,1,2,1,750,6,310817,5051267,309,4620888.02,310054,5050423,309,4620888.03,21.91,23.6,T,T,T,AC,1,4,4,TR,505,0,,1,,1,1,,1,
471,1000282,1,1,309,310817,5051267,4,2,4620888.02,39,2,1,2,1,805,1,310054,5050423,309,4620888.03,310237,5049680,309,4620888.03,21.91,23.6,,,,AC,1,4,4,TR,505,0,,1,,1,1,,1,
472,1000282,1,1,309,310817,5051267,4,2,4620888.02,39,2,1,2,1,1600,5,310237,5049680,309,4620888.03,309979,5050118,309,4620888.03,21.91,23.6,,,,AC,1,4,4,TR,505,0,,1,,1,1,,1,
473,1000282,1,1,309,310817,5051267,4,2,4620888.02,39,2,1,2,1,1615,3,309979,5050118,309,4620888.03,310817,5051267,309,4620888.02,21.91,23.6,,,,AC,1,4,4,TR,505,0,,1,,1,1,,1,
474,1000282,1,2,309,310817,5051267,4,2,4620888.02,39,2,1,2,1,1825,1,310817,5051267,309,4620888.02,310237,5049680,309,4620888.03,21.91,23.6,,,T,AC,1,2,2,TR,215,0,,1,1,,1,,1,
475,1000282,1,2,309,310817,5051267,4,2,4620888.02,39,2,1,2,1,2200,3,310237,5049680,309,4620888.03,310817,5051267,309,4620888.02,21.91,23.6,,,,AC,1,2,2,TR,215,0,,1,1,,1,,1,
476,1000282,2,1,309,310817,5051267,4,2,4620888.02,41,1,1,1,1,900,1,310817,5051267,309,4620888.02,293862,5044959,108,4620266,21.91,17.28,,T,T,AC,2,4,3,TR,510,0,,1,,1,,1,1,
477,1000282,2,1,309,310817,5051267,4,2,4620888.02,41,1,1,1,1,1200,4,293862,5044959,108,4620266,293164,5043503,108,4620268.03,21.91,17.28,,,,AC,2,4,3,TR,510,0,,1,,1,,1,1,
