ipere,feuillet,rang,ch_id,sdomi100,xdomi,ydomi,perslogi,autologi,srdomi,age,genre,permis,p_statut,p_mobil,hrede,motif,xorig,yorig,sorig100,srorig,xdest,ydest,sdest100,srdest,faclog,facper,f_menage,f_pers,f_chaine,mode,nb_bo,nb_depl,nb_lieux,ch_motif,ch_duree,ch_type_ind,ch_type_ouv,ch_type_fer,ch_type_simp,ch_type_comp,ch_mono_bo,ch_multi_bo,ch_contraint,ch_n_contraint
115,77,1,,310,317621,5044429,3,1,4620854.02,31,2,2,5,2,0,0,0,0,0,,0,0,0,,22.59,30.75,T,T,,,,,,,,,,,,,,,,
116,77,2,1,310,317621,5044429,3,1,4620854.02,31,1,1,1,1,900,1,317621,5044429,310,4620854.02,299695,5051232,116,4620593.00,22.59,24.99,,T,T,AC,1,2,2,TR,510,0,,1,1,,1,,1,
117,77,2,1,310,317621,5044429,3,1,4620854.02,31,1,1,1,1,1730,3,299695,5051232,116,4620593.00,317621,5044429,310,4620854.02,22.59,24.99,,,,AC,1,2,2,TR,510,0,,1,1,,1,,1,
118,77,3,,310,317621,5044429,3,1,4620854.02,0,2,5,6,3,0,0,0,0,0,,0,0,0,,22.59,24.75,,T,,,,,,,,,,,,,,,,
282913,114736,1,,310,315713,5044380,2,1,4620855.01,52,2,2,2,2,0,0,0,0,0,,0,0,0,,31.22,26.98,T,T,,,,,,,,,,,,,,,,
282914,114736,2,1,310,315713,5044380,2,1,4620855.01,64,1,1,1,1,530,1,315713,5044380,310,4620855.01,301659,5048010,112,4620013.00,31.22,28.15,,T,T,AC,1,2,2,TR,750,0,,1,1,,1,,1,
282915,114736,2,1,310,315713,5044380,2,1,4620855.01,64,1,1,1,1,1800,3,301659,5048010,112,4620013.00,315713,5044380,310,4620855.01,31.22,28.15,,,,AC,1,2,2,TR,750,0,,1,1,,1,,1,
282916,114737,1,1,310,315570,5044241,2,1,4620855.01,70,2,1,4,1,1100,5,315570,5044241,310,4620855.01,317137,5043065,310,4620854.01,31.22,32.54,T,T,T,AC,1,2,2,MA,10,0,,1,1,,1,,,1
282917,114737,1,1,310,315570,5044241,2,1,4620855.01,70,2,1,4,1,1110,3,317137,5043065,310,4620854.01,315570,5044241,310,4620855.01,31.22,32.54,,,,AC,1,2,2,MA,10,0,,1,1,,1,,,1
282918,114737,2,,310,315570,5044241,2,1,4620855.01,70,1,1,4,2,0,0,0,0,0,,0,0,0,,31.22,32.54,,T,,,,,,,,,,,,,,,,
282919,114738,1,1,310,315568,5044266,2,1,4620855.01,50,1,1,1,1,615,1,315568,5044266,310,4620855.01,299769,5040865,101,4620056.00,31.22,28.15,T,T,T,PR,1,2,2,TR,645,0,,1,1,,1,,1,
282920,114738,1,1,310,315568,5044266,2,1,4620855.01,50,1,1,1,1,1700,3,299769,5040865,101,4620056.00,315568,5044266,310,4620855.01,31.22,28.15,,,,PR,1,2,2,TR,645,0,,1,1,,1,,1,
282921,114738,2,,310,315568,5044266,2,1,4620855.01,16,2,2,3,2,0,0,0,0,0,,0,0,0,,31.22,34.2,,T,,,,,,,,,,,,,,,,
282922,114740,1,1,310,315811,5044242,2,1,4620855.01,62,1,1,4,1,1030,6,315811,5044242,310,4620855.01,299759,5042860,102,4620049.00,31.22,28.15,T,T,T,AC,1,2,2,AT,150,0,,1,1,,1,,,1
282923,114740,1,1,310,315811,5044242,2,1,4620855.01,62,1,1,4,1,1300,3,299759,5042860,102,4620049.00,315811,5044242,310,4620855.01,31.22,28.15,,,,AC,1,2,2,AT,150,0,,1,1,,1,,,1
282924,114740,2,1,310,315811,5044242,2,1,4620855.01,55,2,1,4,1,1400,5,315811,5044242,310,4620855.01,314252,5040625,310,4620855.01,31.22,26.98,,T,T,AC,1,2,2,MA,120,0,,1,1,,1,,,1
282925,114740,2,1,310,315811,5044242,2,1,4620855.01,55,2,1,4,1,1600,3,314252,5040625,310,4620855.01,315811,5044242,310,4620855.01,31.22,26.98,,,,AC,1,2,2,MA,120,0,,1,1,,1,,,1
