ipere,feuillet,rang,ch_id,sdomi100,xdomi,ydomi,perslogi,autologi,srdomi,age,genre,permis,p_statut,p_mobil,hrede,motif,xorig,yorig,sorig100,srorig,xdest,ydest,sdest100,srdest,faclog,facper,f_menage,f_pers,f_chaine,mode,nb_bo,nb_depl,nb_lieux,ch_motif,ch_duree,ch_type_ind,ch_type_ouv,ch_type_fer,ch_type_simp,ch_type_comp,ch_mono_bo,ch_multi_bo,ch_contraint,ch_n_contraint
694,1000404,1,1,302,308008,5045529,2,1,4620877.01,61,2,1,1,1,1000,6,308008,5045529,302,4620877.01,308008,5045529,302,4620877.01,21.24,19.04,T,T,T,AC,0,1,2,IND,0,0,1,,,,,,,
695,1000404,2,1,302,308008,5045529,2,1,4620877.01,68,1,1,5,1,1300,1,308008,5045529,302,4620877.01,308536,5046756,302,4620877.01,21.24,15.14,,T,T,AC,1,2,2,TR,420,0,,1,1,,1,,1,
696,1000404,2,1,302,308008,5045529,2,1,4620877.01,68,1,1,5,1,2000,3,308536,5046756,302,4620877.01,308008,5045529,302,4620877.01,21.24,15.14,,,,AC,1,2,2,TR,420,0,,1,1,,1,,1,
911,1000551,1,,302,304483,5044377,1,0,4620885.00,89,2,2,4,2,0,7,0,0,0,,0,0,0,,30.64,30.43,T,T,,,,,,,,,,,,,,,,
1219,1000755,1,1,302,306723,5048039,2,1,4620886.01,53,2,2,1,1,630,1,306723,5048039,302,4620886.01,307761,5046866,302,4620877.01,18.91,16.42,T,T,T,AP,1,2,2,TR,515,0,,1,1,,1,,1,
1220,1000755,1,1,302,306723,5048039,2,1,4620886.01,53,2,2,1,1,1505,3,307761,5046866,302,4620877.01,306723,5048039,302,4620886.01,18.91,16.42,,,,AP,1,2,2,TR,515,0,,1,1,,1,,1,
1221,1000755,2,1,302,306723,5048039,2,1,4620886.01,58,1,1,1,1,630,6,306723,5048039,302,4620886.01,307761,5046866,302,4620877.01,18.91,18.28,,T,T,AC,1,3,3,TR,695,0,,1,,1,1,,1,
1222,1000755,2,1,302,306723,5048039,2,1,4620886.01,58,1,1,1,1,640,1,307761,5046866,302,4620877.01,299428,5051018,116,4620593.01,18.91,18.28,,,,AC,1,3,3,TR,695,0,,1,,1,1,,1,
1223,1000755,2,1,302,306723,5048039,2,1,4620886.01,58,1,1,1,1,1805,3,299428,5051018,116,4620593.01,306723,5048039,302,4620886.01,18.91,18.28,,,,AC,1,3,3,TR,695,0,,1,,1,1,,1,
1413,1000879,1,1,302,306342,5046930,2,1,4620886.01,53,2,1,7,1,1300,5,306342,5046930,302,4620886.01,312150,5048637,309,4620888.01,18.11,15.72,T,T,T,AC,1,3,3,MA,107,0,,1,,1,1,,,1
1414,1000879,1,1,302,306342,5046930,2,1,4620886.01,53,2,1,7,1,1415,5,312150,5048637,309,4620888.01,312262,5047893,309,4620888.01,18.11,15.72,,,,AC,1,3,3,MA,107,0,,1,,1,1,,,1
1415,1000879,1,1,302,306342,5046930,2,1,4620886.01,53,2,1,7,1,1447,3,312262,5047893,309,4620888.01,306342,5046930,302,4620886.01,18.11,15.72,,,,AC,1,3,3,MA,107,0,,1,,1,1,,,1
