poi_id,xcoord,ycoord,sm13,post_code,sic_1,sic_2,sic_3,sic_4,sic_5,sic_6,naics_1,naics_2,naics_3,naics_4,naics_5
POI1216801,314066.38794588397,5040468.243456803,310,J3V 5K1,58120000,00000000,00000000,00000000,00000000,00000000,72211,00000,00000,00000,00000
POI4962589,317276.78958670615,5043073.606541228,310,J3V 3T7,83610000,86610000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI3936328,316930.96810207947,5042921.011540698,310,J3V 3P8,73890000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4144396,316999.0254768552,5042951.037876268,310,J3V 1Y7,73730000,00000000,00000000,00000000,00000000,00000000,541512,00000,00000,00000,00000
POI4363594,316181.00605552254,5042052.004371951,310,J3V 6E1,73820000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4146049,315413.02113646624,5043860.986512392,310,J3V 3C9,17520000,00000000,00000000,00000000,00000000,00000000,23552,00000,00000,00000,00000
POI1220021,314740.5640736634,5047694.159038791,310,J4B 7W1,61410000,55110000,00000000,00000000,00000000,00000000,522291,44111,00000,00000,00000
POI1190530,319368.21941127337,5047321.910997866,310,J3E 3K5,87420000,82990000,00000000,00000000,00000000,00000000,541613,61143,00000,00000,00000
POI4987285,317231.02049608243,5043149.974066284,310,J3V 2A5,80620000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4818516,315077.9829128018,5041750.04654446,310,,87110000,00000000,00000000,00000000,00000000,00000000,54133,00000,00000,00000,00000
POI3986560,317433.96491071,5042756.97447019,310,J3V 3V2,24310000,50510000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4987365,317231.47682809894,5043156.198330014,310,J3V 5J5,59450000,00000000,00000000,00000000,00000000,00000000,45112,00000,00000,00000,00000
POI3986915,314066.38794588397,5040468.243456803,310,J3V 5K2,59210000,00000000,00000000,00000000,00000000,00000000,44531,00000,00000,00000,00000
POI4987330,318650.5852660804,5046901.625686566,310,J3E 3N4,73730000,00000000,00000000,00000000,00000000,00000000,541512,00000,00000,00000,00000
POI4987334,316512.00727741304,5044486.057538381,310,J3V 3Y5,87110000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI4966647,316894.30500758946,5043311.256144615,310,J3V 3T6,53990000,59470000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI1216584,317235.45902339835,5042979.967245361,310,J3V 3T7,79990000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI1216595,317196.68086852966,5042976.985643059,310,J3V 3T8,81110000,00000000,00000000,00000000,00000000,00000000,54111,00000,00000,00000,00000
POI1216630,318350.0072246934,5042119.992209998,310,J3V 4B2,51990000,00000000,00000000,00000000,00000000,00000000,42299,00000,00000,00000,00000
POI1216719,316752.0021591549,5043088.031777013,310,J3V 5J1,72410000,72310000,59990000,00000000,00000000,00000000,812111,812112,44612,00000,00000
POI1216746,316816.01829126815,5043066.0389543325,310,J3V 5J1,50130000,28510000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI3086444,314111.8380088519,5040849.212856838,310,J3V6A8,56110000,00000000,00000000,00000000,00000000,00000000,44811,00000,00000,00000,00000
POI1216788,314066.38794588397,5040468.243456803,310,J3V 5K1,59470000,00000000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI1216815,314066.38794588397,5040468.243456803,310,J3V 5K2,56320000,00000000,00000000,00000000,00000000,00000000,44819,00000,00000,00000,00000
POI3987075,317962.02885851637,5043652.001914083,310,J3V 4S7,57310000,00000000,00000000,00000000,00000000,00000000,443112,00000,00000,00000,00000
POI1216366,316625.99113880383,5043055.009155837,310,J3V 1R1,35590000,00000000,00000000,00000000,00000000,00000000,333298,00000,00000,00000,00000
POI1216440,317354.96061920526,5042458.983880138,310,J3V 2K7,44910000,00000000,00000000,00000000,00000000,00000000,48832,00000,00000,00000,00000
POI1216452,317213.0315923279,5040910.97782965,310,J3V 2X1,78190000,73360000,00000000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI1216490,316980.6521083802,5042929.123218689,310,J3V 3P8,56210000,59990000,53990000,00000000,00000000,00000000,00000,00000,00000,00000,00000
POI1216513,316896.382758895,5043040.588768244,310,J3V 5J2,72310000,00000000,00000000,00000000,00000000,00000000,812113,00000,00000,00000,00000
POI1216558,316943.006992733,5043238.981721402,310,J3V 3T6,72110000,00000000,00000000,00000000,00000000,00000000,81232,00000,00000,00000,00000
POI4966615,317118.9873422544,5043120.969973634,310,J3V 3T5,59410000,00000000,00000000,00000000,00000000,00000000,45111,532292,00000,00000,00000
POI4963903,316820.28185386246,5043103.442831854,310,J3V 3P8,80110000,00000000,00000000,00000000,00000000,00000000,621112,00000,00000,00000,00000
